,mean,date
453292.0,15042.530312085762,2011-11-01
453294.0,15095.70576543803,2011-11-01
453296.0,15184.329803003431,2011-11-01
453298.0,15177.40344810767,2011-11-01
453464.0,15182.5931249515,2011-11-01
453482.0,15451.097683845306,2011-11-01
453484.0,15449.62538132417,2011-11-01
453486.0,15383.269983296088,2011-11-01
453488.0,15436.639674400574,2011-11-01
452438.0,15048.511062254056,2011-11-01
453471.0,15171.27839353852,2011-12-01
453473.0,15169.631636442757,2011-12-01
453475.0,15166.502228270105,2011-12-01
453477.0,15161.312031364429,2011-12-01
453479.0,15247.953919625716,2011-12-01
453491.0,15270.579854827649,2011-12-01
453493.0,15309.258784498314,2011-12-01
453495.0,15268.591136244884,2011-12-01
453497.0,15189.66943244301,2011-12-01
453499.0,15273.600659219952,2011-12-01
453801.0,15080.350075300294,2011-12-01
453803.0,15149.42421488628,2011-12-01
453805.0,15050.841469782556,2011-12-01
453807.0,15049.292057200084,2011-12-01
453809.0,14999.682072564725,2011-12-01
454061.0,15198.013874365864,2011-12-01
454063.0,15000.512760807853,2011-12-01
454065.0,15022.033791742137,2011-12-01
454067.0,14981.22578285962,2011-12-01
454069.0,15022.255961461877,2011-12-01
452100.0,14832.582235411826,2011-12-01
452300.0,14917.32830085916,2011-12-01
453141.0,14861.23494553874,2011-12-01
453143.0,14893.675950835448,2011-12-01
453145.0,14926.19955380888,2011-12-01
453147.0,14940.364942631328,2011-12-01
453149.0,14862.67672414848,2011-12-01
453210.0,14956.518135448812,2011-12-01
453230.0,15005.757470410555,2011-12-01
453250.0,14967.24975132018,2011-12-01
453270.0,15020.320552346282,2011-12-01
453291.0,15047.891091748945,2011-12-01
453293.0,15068.775214032648,2011-12-01
453295.0,15051.15673069289,2011-12-01
453297.0,15073.832599158328,2011-12-01
453299.0,15050.74477651436,2011-12-01
453410.0,15055.342725404864,2011-12-01
453430.0,15094.81355353818,2011-12-01
453450.0,15118.012816760793,2011-12-01
453461.0,15121.346025233985,2011-12-01
453463.0,15079.101624985906,2011-12-01
453478.0,15288.56375356994,2011-12-01
453481.0,15242.836354918714,2011-12-01
453483.0,15260.619913961633,2011-12-01
453485.0,15288.012318843164,2011-12-01
453492.0,15278.578387918044,2011-12-01
453494.0,15305.35424554754,2011-12-01
453487.0,15290.121059442974,2011-12-01
453489.0,15299.84851073697,2011-12-01
453496.0,15274.317154749004,2011-12-01
453498.0,15270.464821571237,2011-12-01
453806.0,15099.522634612957,2011-12-01
453808.0,15042.2719919601,2011-12-01
454062.0,15178.05141455683,2011-12-01
454064.0,14984.126143710391,2011-12-01
454066.0,14973.69052118902,2011-12-01
454068.0,14981.717907924323,2011-12-01
452411.0,14891.38758662412,2011-12-01
452413.0,14854.125367334338,2011-12-01
452415.0,14805.92245618256,2011-12-01
452417.0,14832.88526577532,2011-12-01
452419.0,14859.746279191531,2011-12-01
452431.0,14887.790769669104,2011-12-01
452433.0,14790.70648604532,2011-12-01
452435.0,14830.282169702674,2011-12-01
452437.0,14812.66511444448,2011-12-01
453146.0,14918.828275449045,2011-12-01
453148.0,14853.483515301486,2011-12-01
453240.0,14939.426598339584,2011-12-01
453260.0,14911.610556722022,2011-12-01
453280.0,15016.28789760702,2011-12-01
453292.0,14937.896907420463,2011-12-01
453294.0,14990.822896422478,2011-12-01
453296.0,15062.0142334949,2011-12-01
453298.0,15083.898348944282,2011-12-01
453464.0,15050.572936984076,2011-12-01
453482.0,15339.0200055562,2011-12-01
453484.0,15333.509613791884,2011-12-01
453486.0,15304.559182923294,2011-12-01
453488.0,15339.247216794154,2011-12-01
452438.0,14881.951290159035,2011-12-01
453471.0,15146.970144966475,2012-01-01
453473.0,15138.238185892942,2012-01-01
